종목코드;종목명;시장구분;전일종가;등락폭;등락대비;시작가;고가;저가;거래량;거래액;시가총액;주식발행량;
005725;넥센우;KOSPI;3,770;20;+0.53;3,830;3,830;3,750;2,566;9,662,495;13,574,262,000;3,600,600;
002350;넥센타이어;KOSPI;8,950;190;-2.08;9,140;9,140;8,860;270,621;2,426,985,760;874,127,499,150;97,667,877;
002355;넥센타이어1우B;KOSPI;3,885;10;+0.26;3,875;3,885;3,850;3,766;14,541,925;25,252,500,000;6,500,000;
089140;넥스턴바이오;KOSDAQ;7,800;380;-4.65;8,290;8,370;7,800;1,186,224;9,451,997,440;259,122,739,200;33,220,864;
065170;넥스트BT;KOSDAQ;1,640;65;+4.13;1,585;1,820;1,575;8,631,682;14,706,096,875;144,712,886,600;88,239,565;
003580;넥스트사이언스;KOSPI;33,450;1,200;+3.72;32,000;33,450;30,600;3,071,340;99,273,561,900;1,390,711,747,650;41,575,837;
137940;넥스트아이;KOSDAQ;1,625;45;-2.69;1,680;1,680;1,615;642,517;1,049,498,430;125,313,781,125;77,116,173;
348210;넥스틴;KOSDAQ;59,800;400;-0.66;60,700;60,700;58,800;68,725;4,084,147,500;571,891,320,000;9,563,400;
041140;넥슨지티;KOSDAQ;11,700;250;-2.09;12,000;12,000;11,600;206,008;2,422,741,800;413,867,867,400;35,373,322;
217270;넵튠;KOSDAQ;23,650;750;-3.07;23,750;24,250;23,300;253,851;5,969,809,250;749,984,590,300;31,711,822;
225570;넷게임즈;KOSDAQ;12,600;400;-3.08;12,900;12,900;12,600;173,813;2,205,515,700;363,522,184,200;28,850,967;
251270;넷마블;KOSPI;134,500;500;-0.37;134,000;136,000;133,500;149,719;20,191,568,500;11,560,746,019,000;85,953,502;
317860;노드메이슨;KONEX;8,890;0;0.00;8,900;9,000;8,800;3,611;32,289,800;33,437,583,620;3,761,258;
